code_intel_celery    | [2026-02-17 14:37:47,685: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,685: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_1/COUNT_BITS.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,686: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,686: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_1/SIGBIT_SUM.asm: 0 symbols
code_intel_celery    | [2026-02-17 14:37:47,686: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,686: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_1/BCD.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,688: WARNING/ForkPoolWorker-1] ✅ Repository 2d456ce9-d770-4a6b-af49-73558f3f899e completed
code_intel_celery    | [2026-02-17 14:37:47,688: WARNING/ForkPoolWorker-1]    Files: 25, Symbols: 25
code_intel_celery    | [2026-02-17 14:37:47,688: WARNING/ForkPoolWorker-1] 📊 Triggering call graph extraction...
code_intel_celery    | [2026-02-17 14:37:47,690: WARNING/ForkPoolWorker-1] 🤖 Triggering embedding generation...
code_intel_celery    | [2026-02-17 14:37:47,691: INFO/MainProcess] Task tasks.extract_call_graph.extract_call_graph_task[0be19a4b-efe4-422a-89c4-5261f3b6fc3c] received
code_intel_celery    | [2026-02-17 14:37:47,691: INFO/ForkPoolWorker-1] Task tasks.parse_repository.parse_repository_task[d4712629-40fc-41c4-b429-2a6ea0ae51f8] succeeded in 0.050891542000044865s: {'repository_id': '2d456ce9-d770-4a6b-af49-73558f3f899e', 'files_processed': 25, 'symbols_extracted': 25, 'status': 'completed'}
code_intel_celery    | [2026-02-17 14:37:47,692: INFO/MainProcess] Task tasks.generate_embeddings.generate_embeddings_for_repository[68927b4a-ad64-4290-9912-ae5783c6cf93] received
code_intel_celery    | [2026-02-17 14:37:47,692: WARNING/ForkPoolWorker-1] 🤖 Generating embeddings for repository: 2d456ce9-d770-4a6b-af49-73558f3f899e
code_intel_celery    | [2026-02-17 14:37:47,693: WARNING/ForkPoolWorker-8] 📊 Extracting call graph for: bisakhmondal/Assmebly-8085 (ID: 2d456ce9-d770-4a6b-af49-73558f3f899e)
code_intel_celery    | [2026-02-17 14:37:47,694: WARNING/ForkPoolWorker-1]   📝 Found 25 symbols to embed
code_intel_celery    | [2026-02-17 14:37:47,694: WARNING/ForkPoolWorker-1]   🔄 Calling OpenAI API...
code_intel_celery    | [2026-02-17 14:37:47,694: WARNING/ForkPoolWorker-1] 📊 Batch 1/1: Generating 25 embeddings...
code_intel_celery    | [2026-02-17 14:37:47,698: WARNING/ForkPoolWorker-8]   📁 Loaded 25 files with source code
code_intel_celery    | [2026-02-17 14:37:47,700: WARNING/ForkPoolWorker-8] ✅ Call graph extraction complete for 2d456ce9-d770-4a6b-af49-73558f3f899e
code_intel_celery    | [2026-02-17 14:37:47,700: WARNING/ForkPoolWorker-8]    Files analyzed: 25
code_intel_celery    | [2026-02-17 14:37:47,700: WARNING/ForkPoolWorker-8]    Calls extracted: 0
code_intel_celery    | [2026-02-17 14:37:47,701: INFO/ForkPoolWorker-8] Task tasks.extract_call_graph.extract_call_graph_task[0be19a4b-efe4-422a-89c4-5261f3b6fc3c] succeeded in 0.009660084000188363s: {'repository_id': '2d456ce9-d770-4a6b-af49-73558f3f899e', 'files_analyzed': 25, 'calls_extracted': 0, 'status': 'completed'}
code_intel_celery    | [2026-02-17 14:37:48,693: INFO/ForkPoolWorker-1] HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
code_intel_celery    | [2026-02-17 14:37:48,707: WARNING/ForkPoolWorker-1] ✅ Batch 1/1: Generated 25 embeddings
code_intel_celery    | [2026-02-17 14:37:48,707: WARNING/ForkPoolWorker-1] ✅ Total: Generated 25 embeddings
code_intel_celery    | [2026-02-17 14:37:48,707: WARNING/ForkPoolWorker-1]   💾 Saving embeddings to database...
code_intel_celery    | [2026-02-17 14:37:48,749: WARNING/ForkPoolWorker-1]   ✅ Generated 25 embeddings
code_intel_celery    | [2026-02-17 14:37:48,751: INFO/ForkPoolWorker-1] Task tasks.generate_embeddings.generate_embeddings_for_repository[68927b4a-ad64-4290-9912-ae5783c6cf93] succeeded in 1.058720541999719s: {'repository_id': '2d456ce9-d770-4a6b-af49-73558f3f899e', 'symbols_processed': 25, 'model': 'text-embedding-3-small', 'status': 'completed'}
code_intel_backend   | INFO:     172.66.0.243:41479 - "GET /api/recommendations/quality-dashboard?repository_id=2d456ce9-d770-4a6b-af49-73558f3f899e HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:57116 - "GET /api/recommendations/complex-functions?repository_id=2d456ce9-d770-4a6b-af49-73558f3f899e&min_complexity=20&limit=10 HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:57116 - "GET /api/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/files?limit=100 HTTP/1.1" 200 OK
